algorithm,dataset,vectorizer,accuracy,precision,recall,f1,custom_accuracy,covid_accuracy,train_time,predict_time
AdaBoost,pre_normalized,TfidfVectorizer_idf_256,0.8468,0.8393,0.8602,0.8496,0.8571,0.7333,2.09,0.1
AdaBoost,pre_normalized,CountVectorizer_256,0.8407,0.8449,0.8372,0.841,0.9286,0.5667,1.43,0.1
AdaBoost,pre_normalized,TfidfVectorizer_norm_256,0.8407,0.8285,0.862,0.8449,0.7857,0.7333,1.8,0.1
AdaBoost,pre_normalized,TfidfVectorizer_norm_max,0.8398,0.827,0.862,0.8441,0.7857,0.6,230.95,11.48
AdaBoost,pre_normalized,CountVectorizer_4096,0.8389,0.8469,0.8298,0.8383,0.8571,0.5333,20.69,1.16
AdaBoost,pre_normalized,CountVectorizer_1024,0.837,0.8438,0.8298,0.8367,0.9286,0.5667,5.16,0.32
AdaBoost,pre_normalized,TfidfVectorizer_norm_4096,0.837,0.8198,0.8666,0.8426,0.7857,0.6667,22.6,1.15
AdaBoost,pre_normalized,CountVectorizer_max,0.8366,0.8449,0.827,0.8359,0.8571,0.5333,235.53,11.85
AdaBoost,pre_normalized,TfidfVectorizer_idf_4096,0.8338,0.8199,0.8583,0.8387,0.7857,0.6667,22.77,1.19
AdaBoost,pre_normalized,TfidfVectorizer_idf_max,0.8333,0.8243,0.85,0.837,0.7857,0.7667,228.2,11.43
AdaBoost,pre_normalized,TfidfVectorizer_norm_1024,0.8315,0.8202,0.8519,0.8357,0.7857,0.7333,6.13,0.32
AdaBoost,pre_normalized,TfidfVectorizer_idf_1024,0.8306,0.8138,0.8602,0.8363,0.7857,0.7333,6.42,0.33
Bernoulli_NB,pre_normalized,CountVectorizer_4096,0.8856,0.8889,0.8832,0.886,0.9286,0.7667,0.55,0.09
Bernoulli_NB,pre_normalized,TfidfVectorizer_norm_4096,0.8856,0.8889,0.8832,0.886,0.9286,0.7667,0.2,0.08
Bernoulli_NB,pre_normalized,TfidfVectorizer_idf_4096,0.8856,0.8889,0.8832,0.886,0.9286,0.7667,0.21,0.08
Bernoulli_NB,pre_normalized,CountVectorizer_max,0.8755,0.8956,0.8519,0.8732,0.9286,0.8333,6.28,0.99
Bernoulli_NB,pre_normalized,TfidfVectorizer_norm_max,0.8755,0.8956,0.8519,0.8732,0.9286,0.8333,2.2,1.1
Bernoulli_NB,pre_normalized,TfidfVectorizer_idf_max,0.8755,0.8956,0.8519,0.8732,0.9286,0.8333,2.07,0.91
Bernoulli_NB,pre_normalized,CountVectorizer_1024,0.862,0.8525,0.8776,0.8649,0.9286,0.8333,0.13,0.03
Bernoulli_NB,pre_normalized,TfidfVectorizer_norm_1024,0.862,0.8525,0.8776,0.8649,0.9286,0.8333,0.06,0.02
Bernoulli_NB,pre_normalized,TfidfVectorizer_idf_1024,0.862,0.8525,0.8776,0.8649,0.9286,0.8333,0.06,0.02
Bernoulli_NB,pre_normalized,CountVectorizer_256,0.8486,0.8248,0.8878,0.8551,0.9286,0.8,0.04,0.01
